"['GiletsJaunes', 'GiletsJaunes94', 'ActeXIII', 'Acte13', 'AmnistiePourLesGJ', 'ISF']","RT @EtjauneG: Les migrants... Un sujet pour diviser...

Vérifions.
#GiletsJaunes #GiletsJaunes94 #ActeXIII #Acte13 #AmnistiePourLesGJ #ISF…",DuPouvoirDachat,
['Giletsjaunes'],"RT @Mike_Bresson: #Giletsjaunes l’imposture : certainement le titre de l’année !
Les gilets jaunes y sont ramenés au niveau qui aurait dû r…",zigouna,lorient
['Rouen'],"RT @Paoldebaok: Le député de #Rouen, @damienadam76 vote pour l’interdiction administrative à manifester pour les présumés « casseur ». Comp…",LaurettteLgr,"Rouen, France"
[],"RT @jeanlassalle: Merci à Pepito Gavroche pour son analyse qui me semble pertinente.

Je réaffirme tout mon soutien au mouvement des #Gilet…",Ninasev2160,France
['LBD40'],"RT @davduf: allo @Place_Beauvau - c'est pour un signalement - 380 (précisions 4)

Christophe, tir tendu #LBD40, visage atteint. Usage inapp…",PThirez,
['LaREM'],"RT @tvlofficiel: 🎥⚡Clash entre un Gilet Jaune et un député #LaREM : ""Vous dites que vous voyez la peine et la misère humaine, et votre seul…",La_Contrie,
"['Manifestation', 'GiletsJaunes']",RT @Mediapart: «Cela peut être le début du chapitre deux de notre mouvement» #Manifestation #GiletsJaunes https://t.co/0j4KOgq5xd,cykriltube,
"['Matrice', 'Monde', 'GiletsJaunes', 'GiletJaune', 'GileStJaunes', 'GiletJaunes', 'GiletsJaunesParis']",RT @France_Mon_Pays: Sortir de la #Matrice - Comprendre ce #Monde 😉 #GiletsJaunes #GiletJaune #GileStJaunes #GiletJaunes #GiletsJaunesParis…,isorah_salomet,
[],"RT @GiletsJaunesGo: 🔴 [Loi Anti-casseurs] - 5 février 
Le droit de manifester est mort...
L’assemblée a votée avec une large majorité, la #…",apollinemanz,"Paris, France"
"['AssembleeNationale', 'GiletsJaunes', 'riens', 'GrandDebatNational']","RT @Callystor: Devant l'#AssembleeNationale comme face aux #GiletsJaunes et autres #riens avec le simulacre de #GrandDebatNational, le régi…",stefmetayer,
['Mediapart'],"RT @GaetanEscorbiac: Liberté de la presse, de manifester, de l’action syndicale : l’inquiétante dérive autoritaire de Macron.
#Mediapart #G…",dossantos5271,"Paray-le-Monial, France"
['PARIS'],"RT @Steph_Roy_: #PARIS Tensions en cours après l'arrivée de la manifestation place de la Concorde. Les FDO interviennent.

#GreveGenerale5f…",Dufreneaud4,
['GiletsJaunes'],"#GiletsJaunes je suis disponible et ouvert pour échanger et dialoguer intelligemment avec vous, sur Pau et sur notr… https://t.co/JaA8ThcjS6",belio_gael,"Gan, France"
[],"RT @marclandre: URGENT
Le chiffre réalisé par le cabinet @enlOccurrence pour un collectif de médias, dont @Le_Figaro, vient de tomber: il y…",jlco83,FRANCE
[],RT @Scorpios691: Ni la gauche ni Macron ne supportent les quelques médias libres qui restent en France. Que les français se réveillent vite…,fed421,
"['GiletsJaunes', 'Strasbourg']","RT @leGneral2: 💥 📽️🇫🇷 HONTE! #GiletsJaunes à #Strasbourg le 05/02/19 :Suite à une opération de blocage de GCO Strasbourg, un gendarme plaqu…",totorocat1,
['GiletsJaunes'],"RT @belio_gael: J’invite tout les #GiletsJaunes à aller faire un tour dans une ""vrai démocratie"" style Russie 🇷🇺, Venezuela 🇻🇪 ou encore Co…",Eric81582026,
"['JeromeRodrigues', 'LaFamille', 'Acte13', 'Police']",RT @ManuLasentuII: NON à la spéculation abusive ! GILETS JAUNES https://t.co/fw6TfIf4n3 #JeromeRodrigues #LaFamille #Acte13 #Police #Gendar…,DuPouvoirDachat,
[],RT @DecerebreLREM: Magnifique + la 29eme au classement des démocraties (chute de 7 places)......on tombe dans l'abime....Parce que c'est no…,micpor1,
['GiletsJaunes'],"RT @CtrlAltDroite: Je mets en garde les #GiletsJaunes contre la tentation d'un rapprochement avec les syndicats, qui sont restés inertes fa…",MaxAcv,"Barcelone, Espagne"
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",guerrera1467,
['LBD40'],"RT @davduf: allo @Place_Beauvau - c'est pour un signalement - 380 (précisions 4)

Christophe, tir tendu #LBD40, visage atteint. Usage inapp…",petitmagali59,"Armentières, France"
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",phill790,
[],@SebLecornu Pourquoi avoir besoin de le rabâcher en continu ses prétendus vertus si c’est si évident. Méthode Coué… https://t.co/7yOaruTmXr,journalgj,"Bretagne, France"
['GiletsJaunes'],"RT @RachidaElAzzz: En bas de @mediapart, ce soir, des #GiletsJaunes demandent s’ils peuvent se rassembler pour le droit de savoir, la liber…",yoaton,
['CGT'],"RT @GiletsJaunesGo: 🔴 30000 manifestants selon la #CGT, 19000 selon la Préfecture et 14000 selon le cabinet Occurrence, mandaté par certain…",NinboChristian,"Ile-de-France, France"
"['GiletsJaunes', '5fevrier']","RT @SyndicatC: Soutien à @Mediapart, un journaliste prend la parole pour remercier les #GiletsJaunes #5fevrier https://t.co/TdJ8EwQH09",Coco_Konyto,
[],"RT @Europe1: ""Dans les années 1990, Bernard Tapie était le porte-parole des Français en colère : il a été gilet jaune avant les #GiletsJaun…",yhueleugenie,"Ferrières-sur-Sichon, France"
"['Toulouse', 'GiletsJaunes']","RT @GiletsJaunesGo: 🔴 #Toulouse - Blocage en cours
Les #GiletsJaunes bloquent actuellement le péage de l’autoroute A62 reliant Toulouse à B…",MANOUCHKYA,BORDEAUX FRANCE
[],"RT @ParisMatch: Sondage @IfopOpinion @Fiducial pour Match : avec 34% d'approbation, Emmanuel Macron retrouve un niveau équivalent à celui d…",christine50100,
"['Nantes', 'GiletsJaunes']","RT @LPLdirect: 🇫🇷 [BLOCAGE] À #Nantes, le rond-point menant à l'aéroport est bloqué par des #GiletsJaunes et des militants CGT. Les camions…",krima95,34
"['GreveGenerale5fevrier', 'GreveGenerale', 'GiletsJaunes']","RT @ChalecosAmarill: MAXIMA DIFUSION
PARIS - Quelques tensions à l’avant du cortège

#GreveGenerale5fevrier #GreveGenerale #GiletsJaunes #C…",cunaguaro8,Valencia
