,tweet,retweets
9202,📽️ ⚠️ #GreveGenerale5fevrier «La police bloquait les #GiletsJaunes à #Lyon pour qu'ils ôtent leurs #GiletJaune alors qu'ils laissaient circuler librement les autres Manifestants»,50
9628,"Si @EmmanuelMacron allait faire son plein, il verrait que les #GiletsJaunes et les français payent aussi cher ce matin que le 17 novembre. Enfumage d état.",48
19977,"🇫🇷 [#ActeXII] Samedi, à #Montpellier, un échange étonnant a eu lieu entre un gendarme et des #GiletsJaunes : le militaire affirme qu'ils « n'ont rien contre eux » et que « toutes leurs familles les soutiennent » mais qu'ils doivent « obéir aux ordres ». ",47
9994,"Je mets en garde les #GiletsJaunes contre la tentation d'un rapprochement avec les syndicats, qui sont restés inertes face à la réforme du travail dont le but est de payer la compétitivité avec la paupérisation des salariés. Rentrez dans le système et le système vous tuera. ",47
13537,Leetchi affirme que l'organisateur de la cagnotte a demandé le virement/fonds sur un compte autre que celui initialement prévu et n'a pas fourni les devis d'honoraires d'avocats correspondant à l'objet de la cagnotte ,46
13538,120000€,46
13535,🔴#Justice ,46
19826,;),46
14170,Steve Bannon : « #EmmanuelMacron est un pantin .../... les #GiletsJaunes sont une inspiration pour le monde »,46
14169,"Souvent la France fut regardée comme un phare et un modèle. Ses élites décadentes n'inspirant plus nulle part, son peuple a pris la relève !",46
19894,"64% des #Français soutiennent toujours les #GiletsJaunes et la cote de #Macron reste stable, avec seulement 21% de jugements favorables sur son action et 73% (+1) d'avis défavorables contrairement à ce qu' affichent d'autres sondages récents. ",45
1755,"📹 « A l'Assemblée, nous avons voté contre le texte de la ""#LoiAntiCasseurs"", car il est éminemment dangereux et menace nos grandes libertés individuelles. Ce n'est pas une loi anti-casseurs, c'est une loi anti-#GiletsJaunes ! » #8h30Politique ",43
19642,Résumons :,42
19243,La poutinisation du pays est en marche.,42
19299,-Et l'opposition - @mbompard,42
19297,-Le vote d'une loi anti-manifestants,42
19645,-Des perquisitions politiques contre la presse - #Médiapart,42
19296,"-Une répression policière jamais vue, plus de 2000 blessés",42
19312,-La mise sur écoute de 150 #GiletsJaunes,42
17025,"1. Son peuple: #GiletsJaunes , la droite, la gauche, nos institutions, voire bientôt la République,",39
20499,😈🇫🇷Macron en près de 2 ans n'aura réussi que 2 choses: diviser &amp; détruire!,39
5274,"#EmmanuelMacron s'en sort très bien malgré la crise des #GiletsJaunes! Si la #presidentielle avait lieu aujourd'hui, il serait à 30%, Marine #LePen à 27% devant JLMelenchon (12%) et LaurentWauquiez (8%). #EmmanuelMacron l'emporterait avec 56% au 2e tour (#Ifop pour #Marianne) ",39
20394,"2. L'UE: il insulte la Pologne &amp; la Hongrie, Il punit le Royaume-Uni et aujourd'hui rompt avec l'Italie",39
9852,Faut dire que si les motards de la #police arrivaient comme cela aux manifestations des #giletsjaunes ça mettrait une autre ambiance :-)),37
667,#Humour ,37
4313,Coups de matraque distribués gratuitement. Dénonçons ! 😡,34
1473,⚡️🎥 CHOC - #Paris,34
1926,"#Hanouna, qui se fait le porte-voix des #giletsjaunes empoche 40 000 euros par mois (hors dividende) alors que les intermittents de Canal sont au pain sec, selon le Canard enchaîné... #TPMP #BTP ",34
1558,#GreveGenerale5Fevrier #GiletsJaunes #ViolencesPolicières ,34
16897,#GiletsJaunes #Europe #BHL ,32
17814,Bravo monsieur ! ,32
19518,"🇨🇭Quand Bernard Henri Lévy, invité par la Radio Télévision Suisse, se fait satelliser en direct par l'écrivain Slobodan Despot (@despotica). ",32
922,Quoi ? Les #GiletsJaunes ne sont pas assez bien pour eux ? (...),31
3872,#Paris #2Février #ActeXII #Acte12 ,31
3870,"🔴 Paris, samedi 2 février, Acte XII :",31
