,tweet,retweets
21025,64% des Français soutiennent les #GiletsJaunes et 77% jugent la mobilisation justifiée...,54
21313,La caravane publicitaire #Macron suit son chemin et sera aujourd'hui à #Autun pour raison de propagande électorale européenne et tentative de re-dorage de blason... les #GiletsJaunes veillent https://t.co/ZiPRerCTzu,54
21384,"Mise sur écoute de 150 #Giletsjaunes , adoption d’une loi anti manif, tentative de perquisition à #Mediapart et le numéro 2 liste ⁦France Insoumise⁩ ⁦@mbompard⁩ perquisitionné ce matin... Si avec ça vous ne la voyez pas la dérive autoritaire  https://t.co/KOfmD5Hod8",53
10376,⚡️PARIS - SORBONNE / Des #GiletsJaunes et étudiants réunis devant la #Sorbonne contre la venue du ministre de l’intérieur Christophe #Castaner ,52
10377,https://t.co/mkdRhna4A5 https://t.co/hfvXshPZEc,52
21247,"A 2 jours de #ActeXIII, et malgré le #GrandDébat, ça peut être rassurant.",51
21248,https://t.co/MgOr8GLqSv,51
20744,#GiletsJaunes ,51
21246,"77% des Français trouvent que la mobilisation des #GiletsJaunes est justifiée (+3), tandis que 20% trouvent cette ""fronde"" injustifiée (en gros les #LREM).",51
20356,📽️ ⚠️ #GreveGenerale5fevrier «La police bloquait les #GiletsJaunes à #Lyon pour qu'ils ôtent leurs #GiletJaune alors qu'ils laissaient circuler librement les autres Manifestants»,50
21224,"Dis papa , tu faisais quoi pendant les ""Gilets Jaunes"" ?",50
20357,Un Mot Matignon 🤔 sur cette entrave à circuler.,50
20358,Un Mot la Cour à #Macron,50
20359,https://t.co/IU232AhYpT,50
21225,#GiletJaune #GiletsJaunes #assembleenationale #senat #droitsdelhomme #Amnestyinternational #ViolencesPolicieres #acte #TF1 #France2 #BFM #CNN #TV5 #CBSNews #RTFrance #LCI #Cnews https://t.co/39qEiktcMv,50
18240,"📹 « Le mouvement des #GiletsJaunes est né d'un ras-le-bol fiscal. Et quelle est la réponse du gouvernement ? La suppression de certaines niches fiscales, c'est-à-dire en réalité... une augmentation des impôts ! » #8h30Politique https://t.co/XzvXj89L9Y",50
16907,"Si @EmmanuelMacron allait faire son plein, il verrait que les #GiletsJaunes et les français payent aussi cher ce matin que le 17 novembre. Enfumage d état.",48
10397,"Je mets en garde les #GiletsJaunes contre la tentation d'un rapprochement avec les syndicats, qui sont restés inertes face à la réforme du travail dont le but est de payer la compétitivité avec la paupérisation des salariés. Rentrez dans le système et le système vous tuera. https://t.co/EYyGwy71Qm",47
21226,"🇫🇷 [#ActeXII] Samedi, à #Montpellier, un échange étonnant a eu lieu entre un gendarme et des #GiletsJaunes : le militaire affirme qu'ils « n'ont rien contre eux » et que « toutes leurs familles les soutiennent » mais qu'ils doivent « obéir aux ordres ». https://t.co/0P66AXHxQn",47
21410, https://t.co/mreUCKXR2S,46
21409,;),46
21408,120000€,46
20933,"Souvent la France fut regardée comme un phare et un modèle. Ses élites décadentes n'inspirant plus nulle part, son peuple a pris la relève !",46
20934,Steve Bannon : « #EmmanuelMacron est un pantin .../... les #GiletsJaunes sont une inspiration pour le monde »,46
21407,Leetchi affirme que l'organisateur de la cagnotte a demandé le virement/fonds sur un compte autre que celui initialement prévu et n'a pas fourni les devis d'honoraires d'avocats correspondant à l'objet de la cagnotte ,46
21405,🔴#Justice ,46
20935,https://t.co/fC301nODK8,46
20409, https://t.co/4rXDmKRjJv,45
20408,"64% des #Français soutiennent toujours les #GiletsJaunes et la cote de #Macron reste stable, avec seulement 21% de jugements favorables sur son action et 73% (+1) d'avis défavorables contrairement à ce qu' affichent d'autres sondages récents. ",45
21078,"📹 « A l'Assemblée, nous avons voté contre le texte de la ""#LoiAntiCasseurs"", car il est éminemment dangereux et menace nos grandes libertés individuelles. Ce n'est pas une loi anti-casseurs, c'est une loi anti-#GiletsJaunes ! » #8h30Politique https://t.co/nI44PMkQBA",43
20671,Résumons :,42
20675,-Et l'opposition - @mbompard,42
20674,-Des perquisitions politiques contre la presse - #Médiapart,42
20677,La poutinisation du pays est en marche.,42
20676,-La mise sur écoute de 150 #GiletsJaunes,42
20672,"-Une répression policière jamais vue, plus de 2000 blessés",42
20673,-Le vote d'une loi anti-manifestants,42
21392,😈🇫🇷Macron en près de 2 ans n'aura réussi que 2 choses: diviser &amp; détruire!,39
8066,"#EmmanuelMacron s'en sort très bien malgré la crise des #GiletsJaunes! Si la #presidentielle avait lieu aujourd'hui, il serait à 30%, Marine #LePen à 27% devant JLMelenchon (12%) et LaurentWauquiez (8%). #EmmanuelMacron l'emporterait avec 56% au 2e tour (#Ifop pour #Marianne) https://t.co/USRWbp3LfM",39
21394,"2. L'UE: il insulte la Pologne &amp; la Hongrie, Il punit le Royaume-Uni et aujourd'hui rompt avec l'Italie",39
21393,"1. Son peuple: #GiletsJaunes , la droite, la gauche, nos institutions, voire bientôt la République,",39
15555,Faut dire que si les motards de la #police arrivaient comme cela aux manifestations des #giletsjaunes ça mettrait une autre ambiance :-)),37
15556,#Humour https://t.co/Fq4IS7XuL3,37
20010,#giletsjaunes ,35
19040,#GreveGenerale5Fevrier #GiletsJaunes #ViolencesPolicières https://t.co/AjYTx1r8Oz,34
19039,Coups de matraque distribués gratuitement. Dénonçons ! 😡,34
9998,"#Hanouna, qui se fait le porte-voix des #giletsjaunes empoche 40 000 euros par mois (hors dividende) alors que les intermittents de Canal sont au pain sec, selon le Canard enchaîné... #TPMP #BTP https://t.co/G8mbbbrkBS",34
19038,⚡️🎥 CHOC - #Paris,34
20009,#GreveGenerale5fevrier ,32
21374,"🇨🇭Quand Bernard Henri Lévy, invité par la Radio Télévision Suisse, se fait satelliser en direct par l'écrivain Slobodan Despot (@despotica). ",32
21376,#GiletsJaunes #Europe #BHL https://t.co/cnuHLbTkqV,32
21375,Bravo monsieur ! ,32
20949,Quoi ? Les #GiletsJaunes ne sont pas assez bien pour eux ? (...),31
20947,Le Mouvement des #GiletsJaunes dure depuis 3 mois ... ,31
17819,"Un container forcé, des jouets dispersés, des #GiletsJaunes qui rangent, des CRS qui les dérange, puis les repousse, avant enfin, de les matraquer... Pauvre France ! ",31
17818,"🔴 Paris, samedi 2 février, Acte XII :",31
20948,"Mais aucun soutien de la ""gauche indignée"" par les inégalités et la pauvreté !!! Où sont les Benabar ? Binoche ? Souchon ? Cotillard ? Darmon ? Cabrel ? ... ?",31
17820,#Paris #2Février #ActeXII #Acte12 https://t.co/GgDhM7CNRC,31
13086,Seuls le @csaudiovisuel et la #CommissionDesComptesne  ne s'en rendent pas compte.,30
20011,(Vidéo du collectif GJ de Rungis IDF) https://t.co/UcUGIn9Lck,30
13085,Le #GrandDebatNational de #Macron ne répond pas aux attentes des #GiletsJaunes ou des Français. Il s'agit d'une campagne électorale sur-commentée dans les médias et payée par les contribuables. ,30
20008,"Un monde fou hier à Concorde #Paris, avant même l'arrivée de la manifestation syndicale. On comprend mieux pourquoi la place a été gazée aux lacrymos pour éviter la jonction des deux foules. ",30
21018,"Une centaine en province, une cinquantaine à Paris et en petite couronne, c’est le nombre de #giletsjaunes placés sur écoute téléphonique et/ou sous « espionnage » Internet. &gt;&gt; https://t.co/Er6553k8T2 @michelrevol https://t.co/43P2IJbVO9",30
11402,#GiletsJaunes #Frexit https://t.co/KYOkllK7tr,29
11400,Vous ne croyez pas au #GrandDébat ?,29
11401,".@ODelamarche sur le Grand débat : « Mais non, c'est ridicule. Il faut être sérieux. On sait bien que de toute façon, dans le carcan 🇪🇺, [E.#Macron] n'a pas le choix. C'est à dire que c'est pas lui qui décide. »",29
19923,https://t.co/1vH6FfvJgJ,28
19922,Vous allez voir que Macron va accuser les #GiletsJaunes pour masquer son incapacité à respecter les engagements pris sur son #NouveauMonde qui ne devait tout changer 😡,28
19921,La Cour des comptes sermonne Emmanuel Macron pour son laxisme budgétaire...,28
21203,https://t.co/iwW0aPonMb,28
20397,"Que le gouvernement rende publique la liste des policiers blessés par des Gilets Jaunes, qui justifierait de l'emploi du LBD40",28
20398,#GiletJaune #GiletsJaunes #assembleenationale #senat #droitsdelhomme #Amnestyinternational #ViolencesPolicieres #France2 #BFM #CNN #CBSNews #RTFrance https://t.co/HkogOf3rn7,28
21201,Malgré les faux débats et  la #propagande que #Macron effectue avec la complicité des médias et de beaucoup trop de Maires complices de cette #campagne illicite ...le mouvement des #giletsjaunes est toujours soutenu par 65 % des français !,28
21349,"Embourbé entre la mobilisation #GiletsJaunes et l’affaire #Benalla , #Macron n’a trouvé que ça pour tenter de s’en sortir : nouvelle perquisition chez @mbompard le numéro 2 liste France Insoumise aux européennes ? Cette dérive autoritaire de #Macron va aller jusqu’où ?",28
21388,Excellent Coluche... ✌️,27
17482,1 SEUL DÉPUTÉ a été CONTACTÉ et à  ACCEPTÉ et il EN FAUT 58 😱,27
17481,POURQUOI AUCUN #GROUPEGJ AUCUN DES #Giletsjaunes N A RELEVÉ ??????,27
17480,#Asselineau a lancé la procédure de destitution de #Macron ,27
17484,https://t.co/XG6m39C826,27
21082,"Dossier à lire dans les Cahiers de février : comment filmer les  #GiletsJaunes ?  Entretiens avec @Francois_Ruffin et @Gilles_Perret, qui  montent un film prévu en salle pour le 3 avril, Pierre Carles, Florent Marcie &amp; Street Politics (@akraland). ",27
21083,https://t.co/rT7duLpl44 https://t.co/ugC2dVshKB,27
17483,FAUDRAIT SAVOIR CE QU ON VEUT NON 🤬,27
21372,"J'ai vu les perquisitions à Médiapart et ce matin je vois les perquisitions chez @mbompard candidat France Insoumise pour les européennes 2019 ... Maintenant je sais qui dérange le pouvoir en place, et je sais pour qui je vais voter, pour la liste France Insoumise #GiletsJaunes",27
21389,D’hier à aujourd’hui rien n’a changé... sinon pire!! #Giletsjaunes #Repressionpolicière https://t.co/ZLNv186OKh,27
13674,"« La prétendue ""#LoiAntiCasseurs"" présentée par le gouvernement est en réalité une loi anti-#GiletsJaunes liberticide. Contre les casseurs professionnels, l'arsenal juridique existe déjà : il faut l'appliquer ! » @franceinfo https://t.co/V18JNI6DOt",26
19319,➡️ https://t.co/4DspVmAj1R https://t.co/NAo26aysUb,26
19317,🔴 La France 🇫🇷 rappelle son ambassadeur d'Italie 🇮🇹 après «des attaques sans fondement»,26
21004,"Plutôt que de répondre au questionnaire biaisé du  #GrandDebat, je préfère celui d'@attac_fr qui met en avant de véritables pistes pour la  #JusticeFiscale ! #LAutreQuestionnaire  #GiletsJaunes https://t.co/hw7qj1grWB",26
19318,#GiletsJaunes #France #Italie,26
20447,"À ma connaissance, il n'y a pas eu de rappel d'ambassadeur depuis 1945 ",25
20201,Pauvre riche écœuré pas les #GiletsJaunes … https://t.co/kB4wAWnjOl,25
20446,"#Italie : les dernières ""ingérences"" que dénonce Paris (texte ci-dessous) qui justifient le rappel de l'ambassadeur, c'est la rencontre entre Di Maio et une délégation de gilets jaunes.",25
20448,#rappel #GILETSJAUNES https://t.co/DMFwXxcu7W,25
18059,7 #GiletsJaunes arrêtés ce matin à leur domicile à Villefranche s/s (69). Le groupe de Villefranche a toujours été pacifique 😡 https://t.co/maPGTdmEyo,25
14245,"Il se confirme que la liberté d’opinion n’est pas de mise chez les gilets jaunes Mais ça, on le savait https://t.co/WrnzY39b6x",25
14244,Hier à l’occasion de la manifestation de #Dijon les locaux de la #CFDT ont été endommagés par des #giletsjaunes,25
21079,#Autun les #giletsjaunes déjà tous parqués en attendant Emmanuel macron qui arrivera en hélicoptère puma. https://t.co/oGG8TvhRBr,25
19246,"▪️77% d’entre-eux, trouvent même le mouvement justifié. ",24
20033,"Entendre la journaliste #SophieCoignard (#LePoint) oser déclarer qu'#EmmanuelMacron ferait ""de la procrastination politique au lieu de réformer la France"". Elle oublie et la crise des #GiletsJaunes et le #GrandDebat #AveuglementOuFoutageDeGueule",24
21270,"Quelqu’un peut m’expliquer qui finance ce mouvement ? Ces gens ne bossent plus, passent leur temps dans les médias, ou à faire des coups médiatiques, vont d’un endroit à l’autre pour des manifestations... qui paye ? #GILETSJAUNES https://t.co/Ybg5f81KF8",24
19937,➡️ Ce 7 février 2019 à 20h00 précises sur UPR TV #UPRTV #GiletsJaunes #RIC #Constitution #Européennes2019 ⤵️,24
9415,#LeGrandDebat #GiletsJaunes,24
9414,@libe @JY_LeDrian @AFD_France @lemondefr,24
9413,Hervé Mombo Kinga a été libéré le 04/02/2019 et a regagné son domicile le 05/02/2019,24
19938,https://t.co/k1xNG7Rxyb https://t.co/13pSmKlcyf,24
21366,Il voit les #GiletsJaunes comme l’opportunité de créer le désordre https://t.co/f8ZcarfPSf,24
19248,https://t.co/DiOHFnOK6r https://t.co/n46qlOwRhK,24
21365,"Évidemment car Steve Bannon, citoyen US,  cherche à affaiblir l’Europe et pour cela s’efforce de créer une « multinationale des nationalistes » à laquelle se prête honteusement @MLP_officiel !#TrahisonDeLaFrance",24
19247,Ces résultats montrent une légère hausse du soutien par rapport au dernier sondage de janvier.,24
16765,"[En couverture] Médias, censure et pensée unique #giletsjaunes &gt;&gt; https://t.co/Jt8LyZKUMp https://t.co/SD6tOnDa63",24
19244,🔵 Les Gilets Jaunes sont soutenus !,24
19245,▪️65% des Français soutiennent le mouvement des #GiletsJaunes. ,24
19936,ÉTIENNE CHOUARD - FRANÇOIS ASSELINEAU,24
19945,Action policière pendant les mobilisations des #GiletsJaunes : violence à tous les étages exercée par le pouvoir #macroniste.,24
19935,🖥 UPR TV : LE GRAND ENTRETIEN,24
19946,"Malgré les milliers de blessé·es, les personnes mutilées à vie, ce gouvernement irresponsable continue à le nier ! https://t.co/bid7TTkRUP",24
14341,"À se demander si les casseurs ne sont pas des flics, d'où l'hésitation à leur tiré dessus.",23
9944,https://t.co/HAe0o5gHiq https://t.co/jpQAvlT4Ik,23
9311,#GiletsJaunes #Matignon #Benalla #AlstomSiemens #ActeXIII,23
